minute,open,high,low,close,volume,one_min_return,log_return_1m,trailing_volatility,dollar_volume,volume_zscore_30m,future_close,forward_return,log_forward_return,direction_5m,direction_3class_5m
2026-04-13 09:30:00-04:00,259.67999267578125,259.7799987792969,259.67999267578125,259.70599365234375,965270,,,,250686404.49279785,,258.0989990234375,-0.006187745636157538,-0.006206969075045913,0,-1
2026-04-13 09:31:00-04:00,259.67999267578125,259.7300109863281,258.7099914550781,259.32501220703125,223263,-0.0014669720939228803,-0.0014680491509556643,,57897680.20037842,,257.8109130859375,-0.0058386158288694645,-0.005855727183191921,0,-1
2026-04-13 09:32:00-04:00,259.2099914550781,259.3599853515625,258.1017150878906,258.17498779296875,171496,-0.004434683736346923,-0.004444546114754702,,44275977.70654297,,257.7950134277344,-0.001471770633099001,-0.0014728547513433886,0,-1
2026-04-13 09:33:00-04:00,258.19500732421875,258.8900146484375,258.0,258.8900146484375,145526,0.002769543485142467,0.002765715366050403,,37675228.271728516,,257.7101135253906,-0.004557538167893949,-0.0045679554083341055,0,-1
2026-04-13 09:34:00-04:00,258.9194030761719,258.92999267578125,258.418212890625,258.6000061035156,95155,-0.0011201998088481435,-0.0011208277016080473,,24607083.58078003,-0.6187987306682853,257.81500244140625,-0.0030355902690704095,-0.003040207018618553,0,-1
2026-04-13 09:35:00-04:00,258.57000732421875,258.57000732421875,258.07000732421875,258.0989990234375,118618,-0.0019373823211650265,-0.0019392614737778308,0.002591815808582177,30615187.06616211,-0.5006350132298167,258.05999755859375,-0.00015111048470284327,-0.00015112190304243853,0,-1
2026-04-13 09:36:00-04:00,258.0690002441406,258.1300048828125,257.79541015625,257.8109130859375,160659,-0.0011161838619677678,-0.0011168072591016807,0.0023187484375869673,41419643.48547363,-0.3482164155958557,257.7550048828125,-0.0002168573954290931,-0.00021688091239401586,0,-1
2026-04-13 09:37:00-04:00,257.81500244140625,257.8399963378906,257.5249938964844,257.7950134277344,167111,-6.167178112370664e-05,-6.16736829061914e-05,0.0021615683848543996,43080382.48892212,-0.3070346050708824,257.8900146484375,0.00036851457846287516,0.0003684466936427905,1,1
2026-04-13 09:38:00-04:00,257.739990234375,257.8299865722656,257.5199890136719,257.7101135253906,112794,-0.0003293310495610102,-0.0003293852909403532,0.00201760292888546,29068154.54498291,-0.4631296746590084,257.8399963378906,0.0005039880302841748,0.0005038610709723646,1,1
2026-04-13 09:39:00-04:00,257.7349853515625,257.95001220703125,257.6300048828125,257.81500244140625,75736,0.00040700349156175264,0.00040692068810744907,0.0019418584407764608,19525877.024902344,-0.5597561592341687,257.8949890136719,0.0003102479355669985,0.0003101998186281001,1,1
2026-04-13 09:40:00-04:00,257.82598876953125,258.1199951171875,257.6300048828125,258.05999755859375,71527,0.0009502748671237349,0.0009498236417982899,0.0019136963603798073,18458257.445373535,-0.5426592349027197,258.010009765625,-0.00019370608944302425,-0.00019372485289066973,0,-1
