minute,open,high,low,close,volume,one_min_return,log_return_1m,trailing_volatility,dollar_volume,volume_zscore_30m,future_close,forward_return,log_forward_return,direction_5m,direction_3class_5m
2026-04-17 09:44:00-04:00,16.0,16.0,16.0,16.0,0,,,,0.0,,25.350000381469727,0.5843750238418579,0.4601900228455263,1,1
2026-04-17 13:25:00-04:00,26.0,26.25,25.709999084472656,26.0,1523174,0.625,0.4855078157817008,,39602524.0,,25.059999465942383,-0.036153866694523695,-0.036823609864717895,0,-1
2026-04-17 13:26:00-04:00,26.0,26.0,24.350000381469727,24.850000381469727,114093,-0.04423075455885672,-0.04523877012795006,,2835211.0935230255,,24.799999237060547,-0.0020121184564031447,-0.0020141454862836828,0,-1
2026-04-17 13:27:00-04:00,24.864999771118164,26.25,24.709999084472656,25.790000915527344,110802,0.037826982681197885,0.03712908749903608,,2857583.6814422607,,24.5,-0.05001942108310187,-0.051313737841886906,0,-1
2026-04-17 13:28:00-04:00,25.75,26.0,24.360000610351562,24.459999084472656,192073,-0.05157044528268839,-0.05294776256311504,,4698105.4041519165,-0.3070233130335891,24.797000885009766,0.01377767020240972,0.013683620972554844,1,1
2026-04-17 13:29:00-04:00,24.5,25.614999771118164,24.459999084472656,25.350000381469727,117675,0.03638599060954384,0.03573965225585453,0.22409192953161808,2983061.29488945,-0.3874811443333218,24.25,-0.04339251932610633,-0.04436212770181536,0,-1
2026-04-17 13:30:00-04:00,25.354999542236328,25.649999618530273,24.560100555419922,25.059999465942383,270519,-0.01143987815240144,-0.011505816928543394,0.20484296782336894,6779205.995527267,-0.11684442140193835,24.780000686645508,-0.011173135884436247,-0.011236024246102696,0,-1
2026-04-17 13:31:00-04:00,25.059999465942383,25.329599380493164,24.6299991607666,24.799999237060547,47370,-0.010375109115033587,-0.010429305749515705,0.189748387459198,1174775.963859558,-0.49691724234114076,24.889999389648438,0.003629038522444672,0.0036224694502928474,1,1
2026-04-17 13:32:00-04:00,24.700000762939453,24.760000228881836,24.0,24.5,109071,-0.012096743802001209,-0.01217050485656709,0.17765115471027956,2672239.5,-0.3523537363670661,24.110000610351562,-0.015918342434630084,-0.016046400042315213,0,-1
2026-04-17 13:33:00-04:00,24.579999923706055,24.798999786376953,23.700000762939453,24.797000885009766,138671,0.012122485102439517,0.012049596251326783,0.1667442530155731,3438624.909725189,-0.2754437934071491,24.174999237060547,-0.025083745039716887,-0.025403704021676448,0,-1
2026-04-17 13:34:00-04:00,24.799999237060547,24.8700008392334,24.06999969482422,24.25,43449,-0.022059154957744798,-0.022306096418515765,0.15880263405648076,1053638.25,-0.4616652299960073,24.260000228881836,0.00041238057244674664,0.0004122955669474223,1,1
2026-04-17 13:35:00-04:00,24.21500015258789,24.780000686645508,24.21500015258789,24.780000686645508,51579,0.02185569841837154,0.021620286527169248,0.15077359296759912,1278127.6554164886,-0.42194023519636553,24.334999084472656,-0.017958094828168125,-0.01812129824707899,0,-1
