minute,bullish_count,bearish_count,unlabeled_count,total_count,bullish_count_5m,bearish_count_5m,unlabeled_count_5m,message_count_5m,net_sentiment,bullish_share,sentiment_change,abnormal_density,labeled_message_count,labeled_fraction,open,high,low,close,volume,one_min_return,log_return_1m,trailing_volatility,dollar_volume,volume_zscore_30m,future_close,forward_return,log_forward_return,direction_5m,direction_3class_5m
2026-04-13 13:30:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.83999633789062,102.8499984741211,102.80000305175781,102.80000305175781,1631884,,,,167757680.18011475,,102.68000030517578,-0.0011673418581671369,-0.0011680237323792447,0,-1
2026-04-13 13:31:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.82499694824219,103.26000213623047,102.80000305175781,103.2249984741211,137263,0.004134196592866957,0.004125674282662181,,14168972.965553284,,102.72000122070312,-0.00489219918510897,-0.004904205164643367,0,-1
2026-04-13 13:32:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,103.2300033569336,103.23999786376953,102.70999908447266,102.83000183105469,187950,-0.0038265599312693466,-0.003833899942367857,,19326898.84414673,,102.5250015258789,-0.0029660634031387634,-0.00297047088660233,0,-1
2026-04-13 13:33:00+00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,102.83000183105469,103.1500015258789,102.79000091552734,103.12999725341797,93743,0.0029173919772573775,0.002913144648027174,,9667715.33252716,,102.375,-0.007320830733300032,-0.007347759522512326,0,-1
2026-04-13 13:34:00+00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.12999725341797,103.13999938964844,102.97010040283203,103.00499725341797,78710,-0.0012120624777370859,-0.0012127976195472961,,8107523.333816528,-0.5139900460900146,102.19000244140625,-0.007912187114637037,-0.00794365456122823,0,-1
2026-04-13 13:35:00+00:00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.01139831542969,103.01499938964844,102.5999984741211,102.68000030517578,137481,-0.003155157098277628,-0.0031601451011534524,0.0035843733076188246,14116549.121955872,-0.3904744350188026,102.18000030517578,-0.004869497453388605,-0.004881392085744216,0,-1
2026-04-13 13:36:00+00:00,1,0,0,1,1.0,0.0,0.0,1.0,0.5,0.5,0.5,5.999964000215999,1.0,0.999999000001,102.68000030517578,102.8499984741211,102.5199966430664,102.72000122070312,173423,0.00038956871258721826,0.00038949285039802225,0.003216037008892764,17814010.771697998,-0.3089055419269972,102.38500213623047,-0.0032612838832905,-0.0032666134602378095,0,-1
2026-04-13 13:37:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.70999908447266,102.72000122070312,102.51000213623047,102.5250015258789,78270,-0.001898361492473577,-0.0019001656643267905,0.0030111199146192996,8024631.869430542,-0.4432147814074431,102.2061996459961,-0.0031095037809127923,-0.0031143483331702486,0,-1
2026-04-13 13:38:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.5250015258789,102.52999877929688,102.30000305175781,102.375,131526,-0.001463072652001296,-0.0014641439878828033,0.002813854621321986,13464974.25,-0.3239407838988864,102.21499633789062,-0.0015629173344017255,-0.0015641399637772988,0,-1
2026-04-13 13:39:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.36000061035156,102.36000061035156,102.12999725341797,102.19000244140625,173441,-0.0018070579594017255,-0.0018086926582632807,0.0026670575150724756,17723936.21343994,-0.22894322651745325,102.18499755859375,-4.8976247117415994e-05,-4.8977446492967614e-05,0,-1
2026-04-13 13:40:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.1886978149414,102.30000305175781,102.0999984741211,102.18000030517578,110033,-9.787783532155814e-05,-9.788262566946355e-05,0.0025208297297477176,11243171.973579407,-0.3448191527140399,102.37000274658203,0.0018594875791619891,0.001857760872328705,1,1
2026-04-13 13:41:00+00:00,1,0,0,1,1.0,0.0,0.0,1.0,0.5,0.5,0.0,5.454515702641622,1.0,0.999999000001,102.19999694824219,102.38999938964844,102.17510223388672,102.38500213623047,78321,0.00200628137054637,0.002004271475904614,0.002517544976428105,8018895.752311707,-0.3955104570100239,102.34500122070312,-0.0003906911626970766,-0.0003907675023735202,0,-1
2026-04-13 13:42:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,4.999975000124999,1.0,0.999999000001,102.38500213623047,102.38500213623047,102.13999938964844,102.2061996459961,89656,-0.0017463738487446534,-0.0017479005372592893,0.0024332251748628163,9163399.035461426,-0.3542662012379391,102.24759674072266,0.0004050350650934842,0.0004049530605339074,1,1
2026-04-13 13:43:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,4.999975000124999,1.0,0.999999000001,102.20819854736328,102.30000305175781,102.18000030517578,102.21499633789062,56149,8.606808515532194e-05,8.606438151018969e-05,0.002334971405058165,5739269.829376221,-0.4164009954524822,102.48500061035156,0.0026415328683120354,0.0026380501521561382,1,1
2026-04-13 13:44:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,4.999975000124999,1.0,0.999999000001,102.21499633789062,102.2300033569336,102.1500015258789,102.18499755859375,100297,-0.00029348706522192014,-0.0002935301409789709,0.0022437048189511543,10248848.700134277,-0.29720072607104503,102.68499755859375,0.004893086186289697,0.004881153947893604,1,1
2026-04-13 13:45:00+00:00,1,0,0,1,2.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.1666666666666666,9.999950000249996,2.0,0.99999950000025,102.18000030517578,102.37999725341797,102.05999755859375,102.37000274658203,106626,0.0018104926594748605,0.001808855693152383,0.002237939755293483,10915303.912857056,-0.2720734326635653,102.56999969482422,0.0019536675088041022,0.0019517615823972318,1,1
2026-04-13 13:46:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,-0.1666666666666666,4.615363313707783,1.0,0.999999000001,102.36499786376953,102.52999877929688,102.27999877929688,102.34500122070312,81818,-0.0002442270705100835,-0.0002442568987977509,0.002162073103961841,8373663.309875488,-0.3265892211005941,102.41000366210938,0.0006351305938829821,0.0006349289838086398,1,1
2026-04-13 13:47:00+00:00,0,0,0,0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,4.999975000124999,1.0,0.999999000001,102.3499984741211,102.36000061035156,102.22000122070312,102.24759674072266,63179,-0.0009517267948477848,-0.0009521799743520013,0.0020998086693087815,6459900.914482117,-0.3654160993731026,102.41000366210938,0.0015883690821463237,0.0015871089581606115,1,1
2026-04-13 13:48:00+00:00,0,0,1,1,1.0,0.0,1.0,2.0,0.5,0.5,0.0,9.999950000249996,1.0,0.499999750000125,102.24500274658203,102.52999877929688,102.23999786376953,102.48500061035156,92287,0.002321852808246483,0.002319161473132505,0.0021297631684859424,9458033.251327515,-0.27692903327670115,102.57499694824219,0.0008781415558827277,0.000877756215159278,1,1
2026-04-13 13:49:00+00:00,0,0,0,0,1.0,0.0,1.0,2.0,0.5,0.5,0.0,10.909031405283244,1.0,0.499999750000125,102.4801025390625,102.72989654541016,102.4800033569336,102.68499755859375,100244,0.0019514753090803527,0.0019495736547584337,0.0021261373762335787,10293554.895263672,-0.2477642033341271,102.63999938964844,-0.0004382156109964397,-0.00043831165551713063,0,-1
2026-04-13 13:50:00+00:00,1,0,0,1,1.0,0.0,1.0,2.0,0.5,0.5,0.0,10.909031405283244,1.0,0.499999750000125,102.68000030517578,102.76499938964844,102.55000305175781,102.56999969482422,83998,-0.0011199091055527077,-0.001120536672343987,0.0020830010500905135,8615674.834365845,-0.28781000134245444,102.9000015258789,0.003217332865716571,0.003212168324732246,1,1
2026-04-13 13:51:00+00:00,1,0,0,1,2.0,0.0,1.0,3.0,0.6666666666666666,0.6666666666666666,0.1666666666666666,14.999925000374995,2.0,0.6666664444445185,102.58000183105469,102.58999633789062,102.37000274658203,102.41000366210938,82575,-0.001559871630992249,-0.0015610894973864275,0.0020547366723754107,8456506.052398682,-0.2850921584724831,102.7750015258789,0.003564084080826646,0.0035577477840921822,1,1
