feature,coefficient,abs_coefficient
net_sentiment,-0.8778064524931739,0.8778064524931739
bullish_share,0.6816137772303634,0.6816137772303634
abnormal_density,-0.14786603044081423,0.14786603044081423
sentiment_change,0.10182569583646665,0.10182569583646665
volume_zscore_30m,0.08537181112540038,0.08537181112540038
message_count_5m,0.06577176453066384,0.06577176453066384
one_min_return,-0.05784004173246602,0.05784004173246602
trailing_volatility,0.027023580632128806,0.027023580632128806
